entry_id,beacon_id,in_time,out_time,rpi_id
7856,67,2016-09-16 16:03:27,2016-09-16 16:04:22,rpi-09
7857,27,2016-09-16 16:04:13,2016-09-16 16:04:28,rpi-24
7858,100,2016-09-16 16:03:28,2016-09-16 16:04:32,rpi-25
7859,56,2016-09-16 16:04:35,2016-09-16 16:04:35,rpi-02
7860,78,2016-09-16 15:59:04,2016-09-16 16:04:51,rpi-01
7861,27,2016-09-16 16:04:15,2016-09-16 16:04:43,rpi-00
7862,88,2016-09-16 16:04:35,2016-09-16 16:04:46,rpi-14
7863,69,2016-09-16 16:00:46,2016-09-16 16:05:10,rpi-28
7864,56,2016-09-16 16:05:12,2016-09-16 16:05:12,rpi-02
7865,100,2016-09-16 16:04:58,2016-09-16 16:05:15,rpi-25
7866,88,2016-09-16 16:04:30,2016-09-16 16:05:28,rpi-19
7867,78,2016-09-16 15:05:06,2016-09-16 16:05:32,rpi-13
7868,88,2016-09-16 16:05:35,2016-09-16 16:05:35,rpi-14
7869,88,2016-09-16 16:05:52,2016-09-16 16:06:07,rpi-29
7870,88,2016-09-16 16:06:04,2016-09-16 16:06:11,rpi-14
7871,56,2016-09-16 16:06:10,2016-09-16 16:06:10,rpi-02
7872,27,2016-09-16 16:06:19,2016-09-16 16:06:19,rpi-19
7873,27,2016-09-16 16:05:43,2016-09-16 16:06:19,rpi-24
7874,69,2016-09-16 16:05:42,2016-09-16 16:06:16,rpi-28
7875,100,2016-09-16 16:05:43,2016-09-16 16:06:27,rpi-29
7876,27,2016-09-16 16:06:07,2016-09-16 16:06:32,rpi-00
7877,67,2016-09-16 15:58:07,2016-09-16 16:06:39,rpi-14
7878,27,2016-09-16 16:06:43,2016-09-16 16:06:43,rpi-24
7879,67,2016-09-16 16:05:19,2016-09-16 16:07:01,rpi-07
7880,72,2016-09-16 16:06:39,2016-09-16 16:06:56,rpi-22
7881,88,2016-09-16 16:05:53,2016-09-16 16:06:56,rpi-19
7882,88,2016-09-16 16:06:54,2016-09-16 16:06:54,rpi-29
7883,100,2016-09-16 16:07:12,2016-09-16 16:07:12,rpi-25
7884,100,2016-09-16 16:06:33,2016-09-16 16:07:20,rpi-17
7885,78,2016-09-16 16:06:11,2016-09-16 16:07:28,rpi-01
7886,67,2016-09-16 16:07:23,2016-09-16 16:07:41,rpi-07
7887,88,2016-09-16 16:07:28,2016-09-16 16:07:36,rpi-19
7888,27,2016-09-16 16:06:53,2016-09-16 16:07:39,rpi-00
7889,78,2016-09-16 16:07:41,2016-09-16 16:07:41,rpi-24
7890,100,2016-09-16 16:07:51,2016-09-16 16:07:51,rpi-25
7891,78,2016-09-16 16:08:01,2016-09-16 16:08:11,rpi-01
7892,72,2016-09-16 15:38:20,2016-09-16 16:08:20,rpi-27
7893,8,2016-09-16 16:08:21,2016-09-16 16:08:21,rpi-19
7894,78,2016-09-16 16:08:22,2016-09-16 16:08:22,rpi-02
7895,72,2016-09-16 15:59:08,2016-09-16 16:08:22,rpi-23
7896,8,2016-09-16 16:08:16,2016-09-16 16:08:16,rpi-12
7897,8,2016-09-16 16:08:17,2016-09-16 16:08:25,rpi-17
7898,8,2016-09-16 16:08:13,2016-09-16 16:08:25,rpi-18
7899,67,2016-09-16 16:08:05,2016-09-16 16:08:35,rpi-07
7900,100,2016-09-16 16:08:18,2016-09-16 16:08:37,rpi-25
7901,8,2016-09-16 16:01:08,2016-09-16 16:08:41,rpi-10
7902,8,2016-09-16 16:08:10,2016-09-16 16:08:37,rpi-11
7903,8,2016-09-16 15:54:30,2016-09-16 16:08:42,rpi-09
7904,8,2016-09-16 15:34:03,2016-09-16 16:08:47,rpi-07
7905,67,2016-09-16 16:08:08,2016-09-16 16:08:43,rpi-14
7906,78,2016-09-16 16:08:43,2016-09-16 16:08:43,rpi-24
7907,8,2016-09-16 16:09:04,2016-09-16 16:09:04,rpi-15
7908,8,2016-09-16 16:09:06,2016-09-16 16:09:06,rpi-16
7909,8,2016-09-16 16:09:07,2016-09-16 16:09:07,rpi-17
7910,8,2016-09-16 16:09:04,2016-09-16 16:09:08,rpi-18
7911,69,2016-09-16 16:09:06,2016-09-16 16:09:06,rpi-27
7912,27,2016-09-16 16:08:52,2016-09-16 16:09:14,rpi-00
7913,78,2016-09-16 16:05:55,2016-09-16 16:09:22,rpi-13
7914,67,2016-09-16 16:09:16,2016-09-16 16:09:30,rpi-07
7915,8,2016-09-16 16:08:43,2016-09-16 16:09:29,rpi-19
7916,72,2016-09-16 16:09:22,2016-09-16 16:09:22,rpi-22
7917,69,2016-09-16 16:06:48,2016-09-16 16:09:30,rpi-28
7918,8,2016-09-16 16:08:18,2016-09-16 16:09:35,rpi-04
7919,8,2016-09-16 16:08:09,2016-09-16 16:09:35,rpi-06
7920,8,2016-09-16 16:08:07,2016-09-16 16:09:37,rpi-03
7921,8,2016-09-16 16:09:16,2016-09-16 16:09:36,rpi-01
7922,8,2016-09-16 16:08:48,2016-09-16 16:09:36,rpi-20
7923,8,2016-09-16 16:08:53,2016-09-16 16:09:36,rpi-02
7924,8,2016-09-16 16:08:08,2016-09-16 16:09:37,rpi-05
7925,100,2016-09-16 16:09:37,2016-09-16 16:09:43,rpi-25
7926,100,2016-09-16 16:09:30,2016-09-16 16:09:49,rpi-29
7927,8,2016-09-16 16:08:36,2016-09-16 16:09:48,rpi-21
7928,78,2016-09-16 16:09:54,2016-09-16 16:09:54,rpi-28
7929,72,2016-09-16 16:10:09,2016-09-16 16:10:12,rpi-24
7930,88,2016-09-16 16:10:10,2016-09-16 16:10:10,rpi-14
7931,88,2016-09-16 16:10:14,2016-09-16 16:10:14,rpi-29
7932,67,2016-09-16 16:10:10,2016-09-16 16:10:14,rpi-09
7933,67,2016-09-16 16:09:54,2016-09-16 16:10:22,rpi-07
7934,72,2016-09-16 16:10:29,2016-09-16 16:10:29,rpi-22
7935,27,2016-09-16 16:10:32,2016-09-16 16:10:32,rpi-19
7936,78,2016-09-16 16:10:56,2016-09-16 16:10:56,rpi-24
7937,72,2016-09-16 16:10:58,2016-09-16 16:10:58,rpi-22
7938,100,2016-09-16 16:11:25,2016-09-16 16:11:25,rpi-17
7939,67,2016-09-16 16:11:23,2016-09-16 16:11:38,rpi-07
7940,67,2016-09-16 16:11:39,2016-09-16 16:11:39,rpi-09
7941,100,2016-09-16 16:11:25,2016-09-16 16:11:47,rpi-29
7942,27,2016-09-16 15:16:04,2016-09-16 16:11:51,rpi-05
7943,27,2016-09-16 16:11:42,2016-09-16 16:12:01,rpi-00
7944,88,2016-09-16 16:11:57,2016-09-16 16:11:57,rpi-14
7945,67,2016-09-16 16:11:12,2016-09-16 16:12:06,rpi-14
7946,67,2016-09-16 16:12:10,2016-09-16 16:12:10,rpi-09
7947,78,2016-09-16 16:11:22,2016-09-16 16:12:20,rpi-01
7948,72,2016-09-16 16:12:28,2016-09-16 16:12:28,rpi-22
7949,27,2016-09-16 16:12:18,2016-09-16 16:12:40,rpi-24
7950,27,2016-09-16 16:12:29,2016-09-16 16:12:41,rpi-00
7951,67,2016-09-16 16:12:36,2016-09-16 16:12:36,rpi-14
7952,88,2016-09-16 16:12:44,2016-09-16 16:13:02,rpi-19
7953,67,2016-09-16 16:12:57,2016-09-16 16:13:01,rpi-09
7954,78,2016-09-16 16:09:49,2016-09-16 16:13:03,rpi-13
7955,67,2016-09-16 16:12:57,2016-09-16 16:13:03,rpi-07
7956,100,2016-09-16 16:12:15,2016-09-16 16:13:05,rpi-17
7957,27,2016-09-16 16:13:20,2016-09-16 16:13:20,rpi-00
7958,100,2016-09-16 16:13:12,2016-09-16 16:13:12,rpi-29
7959,27,2016-09-16 16:13:22,2016-09-16 16:13:40,rpi-24
7960,100,2016-09-16 16:13:37,2016-09-16 16:13:37,rpi-29
7961,72,2016-09-16 16:13:02,2016-09-16 16:13:44,rpi-22
7962,100,2016-09-16 16:13:54,2016-09-16 16:13:54,rpi-17
7963,72,2016-09-16 16:10:12,2016-09-16 16:13:54,rpi-27
7964,56,2016-09-16 16:06:34,2016-09-16 16:13:58,rpi-02
7965,88,2016-09-16 16:14:21,2016-09-16 16:14:21,rpi-19
7966,27,2016-09-16 16:14:11,2016-09-16 16:14:26,rpi-24
7967,88,2016-09-16 16:14:26,2016-09-16 16:14:26,rpi-29
7968,56,2016-09-16 16:14:27,2016-09-16 16:14:27,rpi-02
7969,27,2016-09-16 16:12:25,2016-09-16 16:14:30,rpi-05
7970,51,2016-09-16 16:14:36,2016-09-16 16:14:36,rpi-03
7971,88,2016-09-16 16:14:44,2016-09-16 16:14:44,rpi-14
7972,27,2016-09-16 16:14:58,2016-09-16 16:14:58,rpi-00
7973,78,2016-09-16 16:15:30,2016-09-16 16:15:30,rpi-24
7974,100,2016-09-16 16:15:29,2016-09-16 16:15:40,rpi-29
7975,27,2016-09-16 16:15:28,2016-09-16 16:15:51,rpi-24
7976,69,2016-09-16 16:10:08,2016-09-16 16:15:48,rpi-27
7977,88,2016-09-16 16:15:43,2016-09-16 16:15:43,rpi-14
7978,27,2016-09-16 16:15:33,2016-09-16 16:15:51,rpi-05
7979,100,2016-09-16 16:16:06,2016-09-16 16:16:06,rpi-17
7980,78,2016-09-16 16:12:43,2016-09-16 16:16:15,rpi-01
7981,88,2016-09-16 16:15:16,2016-09-16 16:16:27,rpi-19
7982,27,2016-09-16 16:16:26,2016-09-16 16:16:26,rpi-00
7983,27,2016-09-16 16:16:27,2016-09-16 16:16:32,rpi-05
7984,100,2016-09-16 16:16:52,2016-09-16 16:17:00,rpi-17
7985,27,2016-09-16 16:17:11,2016-09-16 16:17:11,rpi-00
7986,72,2016-09-16 16:17:12,2016-09-16 16:17:12,rpi-22
7987,56,2016-09-16 16:14:57,2016-09-16 16:17:10,rpi-02
7988,69,2016-09-16 16:17:07,2016-09-16 16:17:19,rpi-27
7989,100,2016-09-16 16:16:54,2016-09-16 16:17:13,rpi-25
7990,88,2016-09-16 16:17:23,2016-09-16 16:17:23,rpi-29
7991,27,2016-09-16 16:17:23,2016-09-16 16:17:23,rpi-24
7992,100,2016-09-16 16:16:10,2016-09-16 16:17:34,rpi-29
7993,56,2016-09-16 16:17:36,2016-09-16 16:17:39,rpi-02
7994,5,2016-09-16 16:17:44,2016-09-16 16:17:53,rpi-14
7995,72,2016-09-16 16:17:53,2016-09-16 16:17:53,rpi-01
7996,27,2016-09-16 16:17:45,2016-09-16 16:18:08,rpi-00
7997,69,2016-09-16 16:17:50,2016-09-16 16:18:15,rpi-27
7998,78,2016-09-16 16:18:16,2016-09-16 16:18:20,rpi-24
7999,5,2016-09-16 16:18:15,2016-09-16 16:18:15,rpi-14
8000,72,2016-09-16 16:18:29,2016-09-16 16:18:29,rpi-01
8001,100,2016-09-16 16:18:43,2016-09-16 16:18:43,rpi-25
8002,27,2016-09-16 16:18:49,2016-09-16 16:18:49,rpi-00
8003,56,2016-09-16 16:18:37,2016-09-16 16:18:45,rpi-02
8004,100,2016-09-16 16:18:03,2016-09-16 16:18:54,rpi-29
8005,88,2016-09-16 16:17:35,2016-09-16 16:18:56,rpi-14
8006,88,2016-09-16 16:17:10,2016-09-16 16:19:09,rpi-19
8007,72,2016-09-16 16:19:15,2016-09-16 16:19:15,rpi-01
8008,27,2016-09-16 16:18:53,2016-09-16 16:19:20,rpi-24
8009,100,2016-09-16 16:19:27,2016-09-16 16:19:29,rpi-29
8010,69,2016-09-16 16:11:07,2016-09-16 16:19:52,rpi-28
8011,69,2016-09-16 16:18:53,2016-09-16 16:20:01,rpi-27
8012,69,2016-09-16 16:00:54,2016-09-16 16:19:56,rpi-26
8013,69,2016-09-16 16:19:58,2016-09-16 16:19:58,rpi-13
8014,69,2016-09-16 16:02:04,2016-09-16 16:20:09,rpi-22
8015,88,2016-09-16 16:20:11,2016-09-16 16:20:11,rpi-14
8016,27,2016-09-16 16:20:07,2016-09-16 16:20:32,rpi-00
8017,69,2016-09-16 16:09:06,2016-09-16 16:20:31,rpi-23
8018,69,2016-09-16 16:20:23,2016-09-16 16:20:30,rpi-10
8019,69,2016-09-16 16:20:27,2016-09-16 16:20:33,rpi-11
8020,5,2016-09-16 16:20:39,2016-09-16 16:20:39,rpi-19
8021,69,2016-09-16 16:20:29,2016-09-16 16:20:33,rpi-24
8022,5,2016-09-16 16:20:38,2016-09-16 16:20:38,rpi-14
8023,56,2016-09-16 16:19:29,2016-09-16 16:20:45,rpi-02
8024,69,2016-09-16 16:20:51,2016-09-16 16:20:51,rpi-06
8025,69,2016-09-16 16:20:10,2016-09-16 16:20:58,rpi-15
8026,69,2016-09-16 16:21:07,2016-09-16 16:21:12,rpi-07
8027,69,2016-09-16 16:20:14,2016-09-16 16:21:06,rpi-16
8028,69,2016-09-16 16:20:51,2016-09-16 16:21:11,rpi-29
8029,88,2016-09-16 16:19:35,2016-09-16 16:21:19,rpi-19
8030,69,2016-09-16 16:20:24,2016-09-16 16:21:18,rpi-17
8031,78,2016-09-16 15:43:10,2016-09-16 16:21:21,rpi-18
8032,100,2016-09-16 16:21:21,2016-09-16 16:21:21,rpi-25
8033,78,2016-09-16 16:21:23,2016-09-16 16:21:29,rpi-28
8034,69,2016-09-16 16:21:21,2016-09-16 16:21:32,rpi-05
8035,69,2016-09-16 16:20:55,2016-09-16 16:21:38,rpi-01
8036,69,2016-09-16 16:21:13,2016-09-16 16:21:43,rpi-03
8037,69,2016-09-16 16:21:08,2016-09-16 16:21:43,rpi-00
8038,69,2016-09-16 16:20:24,2016-09-16 16:21:46,rpi-20
8039,69,2016-09-16 16:21:24,2016-09-16 16:21:45,rpi-02
8040,69,2016-09-16 16:20:30,2016-09-16 16:21:46,rpi-21
8041,69,2016-09-16 16:21:13,2016-09-16 16:21:46,rpi-04
8042,78,2016-09-16 16:22:16,2016-09-16 16:22:16,rpi-24
8043,56,2016-09-16 16:21:59,2016-09-16 16:22:19,rpi-29
8044,100,2016-09-16 16:19:58,2016-09-16 16:22:31,rpi-29
8045,78,2016-09-16 16:22:24,2016-09-16 16:22:24,rpi-02
8046,88,2016-09-16 16:22:20,2016-09-16 16:22:40,rpi-19
8047,56,2016-09-16 16:22:42,2016-09-16 16:22:42,rpi-25
8048,100,2016-09-16 16:22:40,2016-09-16 16:22:51,rpi-25
8049,27,2016-09-16 16:23:05,2016-09-16 16:23:07,rpi-24
8050,88,2016-09-16 16:22:46,2016-09-16 16:23:11,rpi-14
